@relation ReactionNetworkDirectedEdited-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R9_clustered

@attribute Instance_number numeric
@attribute Pathway {aac00010,aac00020,aac00030,aac00040,aac00051,aac00052,aac00061,aac00071,aac00072,aac00130,aac00190,aac00230,aac00240,aac00250,aac00270,aac00280,aac00281,aac00290,aac00300,aac00310,aac00330,aac00340,aac00350,aac00360,aac00361,aac00362,aac00364,aac00380,aac00400,aac00401,aac00410,aac00430,aac00450,aac00460,aac00471,aac00473,aac00480,aac00500,aac00520,aac00521,aac00550,aac00561,aac00562,aac00564,aac00590,aac00620,aac00621,aac00622,aac00625,aac00627,aac00630,aac00640,aac00642,aac00643,aac00650,aac00660,aac00670,aac00680,aac00720,aac00730,aac00740,aac00750,aac00760,aac00770,aac00780,aac00785,aac00790,aac00860,aae00010,aae00020,aae00030,aae00040,aae00051,aae00052,aae00061,aae00071,aae00100,aae00120,aae00130,aae00190,aae00220,aae00230,aae00240,aae00251,aae00252,aae00260,aae00271,aae00272,aae00280,aae00290,aae00300,aae00310,aae00330,aae00340,aae00350,aae00360,aae00361,aae00364,aae00380,aae00400,aae00401,aae00410,aae00450,aae00460,aae00471,aae00473,aae00500,aae00520,aae00521,aae00530,aae00540,aae00550,aae00562,aae00564,aae00620,aae00627,aae00630,aae00640,aae00641,aae00650,aae00660,aae00670,aae00680,aae00710,aae00720,aae00730,aae00740,aae00750,aae00760,aae00770,aae00780,aae00785,aae00790,aae00860,aau00010,aau00020,aau00030,aau00031,aau00040,aau00051,aau00052,aau00053,aau00061,aau00071,aau00072,aau00100,aau00120,aau00130,aau00150,aau00220,aau00230,aau00240,aau00251,aau00252,aau00260,aau00271,aau00272,aau00280,aau00281,aau00290,aau00300,aau00310,aau00311,aau00330,aau00340,aau00350,aau00360,aau00361,aau00362,aau00363,aau00364,aau00380,aau00400,aau00401,aau00410,aau00430,aau00450,aau00460,aau00471,aau00473,aau00480,aau00500,aau00510,aau00520,aau00521,aau00523,aau00530,aau00531,aau00540,aau00550,aau00561,aau00562,aau00564,aau00592,aau00600,aau00603,aau00604,aau00620,aau00622,aau00623,aau00624,aau00626,aau00627,aau00628,aau00630,aau00632,aau00640,aau00641,aau00642,aau00643,aau00650,aau00660,aau00670,aau00680,aau00710,aau00720,aau00730,aau00740,aau00750,aau00760,aau00770,aau00780,aau00785,aau00790,aau00791,aau00860,aav00010,aav00020,aav00030,aav00031,aav00040,aav00051,aav00052,aav00053,aav00061,aav00071,aav00072,aav00100,aav00120,aav00130,aav00190,aav00220,aav00230,aav00240,aav00251,aav00252,aav00260,aav00271,aav00272,aav00280,aav00281,aav00290,aav00300,aav00310,aav00330,aav00340,aav00350,aav00360,aav00361,aav00362,aav00364,aav00380,aav00400,aav00401,aav00410,aav00430,aav00440,aav00450,aav00460,aav00471,aav00473,aav00480,aav00500,aav00520,aav00521,aav00523,aav00530,aav00540,aav00550,aav00561,aav00562,aav00564,aav00620,aav00624,aav00626,aav00627,aav00628,aav00630,aav00631,aav00632,aav00640,aav00641,aav00643,aav00650,aav00660,aav00670,aav00680,aav00710,aav00720}
@attribute Nodes numeric
@attribute Edges numeric
@attribute ConnectedComponents numeric
@attribute NetworkDiameter numeric
@attribute NetworkRadius numeric
@attribute CharacteristicPathLength numeric
@attribute Avg.num.Neighbours numeric
@attribute Multi-edgeNodePair numeric
@attribute NeighborhoodConnectivity numeric
@attribute Outdegree numeric
@attribute Stress numeric
@attribute SelfLoops numeric
@attribute PartnerOfMultiEdgedNodePairs numeric
@attribute EdgeCount numeric
@attribute BetweennessCentrality numeric
@attribute Indegree numeric
@attribute Eccentricity numeric
@attribute ClosenessCentrality numeric
@attribute AverageShortestPathLength numeric
@attribute ClusteringCoefficient numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
41,aac00561,8,6,2,2,1,1.25,1.5,0,1.75,0.75,0.25,0,0,1.5,0.041667,0.75,0.875,0.552083,0.729167,0,cluster0
42,aac00562,5,3,2,2,1,1.25,1.2,0,1.4,0.6,0.2,0,0,1.2,0.1,0.6,0.8,0.533333,0.7,0,cluster0
43,aac00564,22,33,3,5,1,1.791045,3,0,3.307576,1.5,3.318182,0,0,3,0.008857,1.5,1.227273,0.633623,0.922763,0.165909,cluster1
44,aac00590,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
45,aac00620,36,114,1,5,1,2.27907,6.222222,2,7.253318,3.166667,15.027778,0,0.111111,6.333333,0.010271,3.166667,2.138889,0.497763,1.337626,0.304646,cluster3
46,aac00621,6,4,2,2,1,1.2,1.333333,0,1.5,0.666667,0.166667,0,0,1.333333,0.027778,0.666667,0.666667,0.458333,0.555556,0,cluster0
47,aac00622,9,8,2,3,1,1.571429,1.777778,0,2.148148,0.888889,0.888889,0,0,1.777778,0.094444,0.888889,1.333333,0.49537,0.955556,0.092593,cluster0
48,aac00625,7,4,3,2,1,1.2,1.142857,0,1.285714,0.571429,0.142857,0,0,1.142857,0.071429,0.571429,0.714286,0.52381,0.642857,0,cluster0
49,aac00627,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
50,aac00630,19,39,2,4,1,1.697368,4,1,5.093567,2.052632,3.315789,0,0.105263,4.105263,0.011623,2.052632,1.578947,0.61017,1.12294,0.324018,cluster1
51,aac00640,18,31,5,2,1,1.088235,3.444444,0,3.738095,1.722222,0.166667,0,0,3.444444,0.003968,1.722222,0.833333,0.642526,0.694974,0.297619,cluster1
52,aac00642,5,4,1,1,1,1,1.6,0,1.8,0.8,0,0,0,1.6,0,0.8,0.4,0.4,0.4,0,cluster4
53,aac00643,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
54,aac00650,18,30,3,3,1,1.333333,3.111111,0,3.513889,1.555556,0.888889,0,0,3.111111,0.017196,1.555556,1.055556,0.581129,0.800794,0.285185,cluster1
55,aac00660,6,11,1,2,1,1.083333,3.666667,0,4.233333,1.833333,0.166667,0,0,3.666667,0.008333,1.833333,0.833333,0.638889,0.7,0.383333,cluster1
56,aac00670,11,29,1,2,1,1.216216,5.272727,0,6.565152,2.636364,1.454545,0,0,5.272727,0.008081,2.636364,1.181818,0.833333,1.018182,0.267136,cluster3
57,aac00680,7,7,1,3,1,1.5,2,0,2.238095,1,0.857143,0,0,2,0.028571,1,1.285714,0.56746,0.947619,0.119048,cluster5
58,aac00720,14,11,4,2,1,1.214286,1.571429,0,1.833333,0.785714,0.214286,0,0,1.571429,0.053571,0.785714,0.857143,0.577381,0.738095,0.083333,cluster0
59,aac00730,18,20,3,3,1,1.515152,2.222222,0,3.115741,1.111111,0.944444,0,0,2.222222,0.034512,1.111111,1.222222,0.472685,0.843519,0.05463,cluster5
60,aac00740,10,8,2,3,1,1.416667,1.6,0,1.8,0.8,0.5,0,0,1.6,0.071667,0.8,1,0.491667,0.783333,0,cluster0
61,aac00750,5,5,2,1,1,1,1.2,0,1.4,0.6,0,0,0,1.2,0,0.6,0.4,0.4,0.4,0,cluster4
62,aac00760,17,22,2,7,1,2.523077,2.588235,0,2.864706,1.294118,5.882353,0,0,2.588235,0.031997,1.294118,2.117647,0.426501,1.206752,0.198039,cluster1
63,aac00770,22,29,1,10,1,3.554622,2.636364,0,3.07803,1.318182,21.227273,0,0,2.636364,0.0329,1.318182,3.409091,0.360547,1.771839,0.159091,cluster2
64,aac00780,7,5,2,3,1,1.5,1.428571,0,1.571429,0.714286,0.571429,0,0,1.428571,0.047619,0.714286,1.142857,0.595238,0.928571,0,cluster0
65,aac00785,5,6,1,3,1,1.5,2.4,0,2.533333,1.2,1,0,0,2.4,0.083333,1.2,1.6,0.593333,1.15,0.166667,cluster5
66,aac00790,10,12,3,2,1,1.388889,1.8,2,2,1.1,0.8,0,0.4,2.2,0.035,1.1,0.9,0.505357,0.74,0.083333,cluster5
67,aac00860,18,17,2,6,1,2.083333,1.888889,0,2,0.944444,2.166667,0,0,1.888889,0.010317,0.944444,1.666667,0.537539,1.125309,0.027778,cluster1
68,aae00010,26,57,1,4,1,1.47561,4.307692,1,5.480098,2.192308,1.576923,0,0.076923,4.384615,0.0025,2.192308,1.076923,0.444456,0.68727,0.185134,cluster3
69,aae00020,29,45,1,4,1,1.880734,3.034483,1,7.299754,1.551724,3.310345,0,0.068966,3.103448,0.004379,1.551724,0.827586,0.237157,0.575047,0.139775,cluster1
70,aae00030,22,47,1,3,1,1.673913,4.090909,2,5.744805,2.136364,3.5,0,0.181818,4.272727,0.00671,2.136364,1,0.418044,0.776038,0.207694,cluster3
71,aae00040,7,6,2,2,1,1.142857,1.714286,0,2.142857,0.857143,0.142857,0,0,1.714286,0.011905,0.857143,0.571429,0.4,0.464286,0.119048,cluster5
72,aae00051,10,13,2,2,1,1.133333,2.6,0,2.85,1.3,0.5,0,0,2.6,0.01,1.3,0.9,0.655,0.758333,0.133333,cluster5
73,aae00052,4,4,1,1,1,1,2,0,2.416667,1,0,0,0,2,0,1,0.5,0.5,0.5,0.291667,cluster5
74,aae00061,39,122,1,3,1,1.685484,3.948718,22,5.661072,2.538462,4.358974,0,1.128205,5.076923,0.0031,2.538462,1.076923,0.416595,0.749615,0.156902,cluster2
75,aae00071,6,4,2,1,1,1,1.333333,0,2,0.666667,0,0,0,1.333333,0,0.666667,0.333333,0.333333,0.333333,0,cluster4
76,aae00100,12,13,1,3,1,1.45,2.166667,0,2.430556,1.083333,0.75,0,0,2.166667,0.006818,1.083333,1.166667,0.545094,0.860119,0.097222,cluster5
77,aae00120,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
78,aae00130,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
79,aae00190,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
80,aae00220,21,27,1,4,1,1.740741,2.571429,0,3.420635,1.285714,1.904762,0,0,2.571429,0.005013,1.285714,0.952381,0.432323,0.701166,0.133333,cluster1
81,aae00230,54,101,2,11,1,3.995984,3.666667,1,4.23362,1.851852,50.166667,0,0.037037,3.703704,0.010835,1.851852,2.944444,0.394481,1.824731,0.268849,cluster2
82,aae00240,39,67,3,5,1,1.915033,3.179487,2,3.605189,1.641026,6.435897,0,0.102564,3.282051,0.009303,1.641026,1.769231,0.494563,1.160043,0.195299,cluster1
83,aae00251,22,81,1,3,1,1.333333,7.090909,3,11.406982,3.681818,1.636364,0,0.272727,7.363636,0.003896,3.681818,1,0.354916,0.59414,0.332377,cluster3
84,aae00252,26,89,1,2,1,1.183486,6.846154,0,9.688997,3.423077,1.192308,0,0,6.846154,0.001282,3.423077,0.692308,0.378509,0.482352,0.294442,cluster3
85,aae00260,21,32,2,4,1,1.586207,3.047619,0,4.194974,1.52381,2.190476,0,0,3.047619,0.020899,1.52381,1.190476,0.435819,0.826058,0.232407,cluster1
86,aae00271,11,14,1,4,1,1.730769,2.545455,0,2.825758,1.272727,1.818182,0,0,2.545455,0.019192,1.272727,1.454545,0.536508,1.125758,0.136364,cluster1
87,aae00272,11,23,2,1,1,1,4.181818,0,4.636364,2.090909,0,0,0,4.181818,0,2.090909,0.545455,0.545455,0.545455,0.266667,cluster1
88,aae00280,6,4,2,1,1,1,1.333333,0,2,0.666667,0,0,0,1.333333,0,0.666667,0.666667,0.666667,0.666667,0,cluster4
89,aae00290,24,27,4,3,1,1.432432,2.083333,0,2.579861,1.041667,0.666667,0,0,2.083333,0.016636,1.041667,1.083333,0.612599,0.874306,0.143056,cluster5
90,aae00300,19,23,2,4,1,1.82,2.421053,0,3.092105,1.210526,2.315789,0,0,2.421053,0.033312,1.210526,1.157895,0.413552,0.924123,0.127193,cluster1
91,aae00310,3,2,1,1,1,1,1.333333,0,1.666667,0.666667,0,0,0,1.333333,0,0.666667,0.333333,0.333333,0.333333,0,cluster4
92,aae00330,12,10,3,2,1,1.166667,1.666667,0,2.25,0.833333,0.166667,0,0,1.666667,0.005556,0.833333,0.5,0.395833,0.444444,0.090278,cluster5
93,aae00340,13,13,2,3,1,1.333333,2,0,2.25641,1,0.461538,0,0,2,0.008242,1,1,0.602564,0.846154,0.128205,cluster5
94,aae00350,5,5,2,1,1,1,1.2,0,1.4,0.6,0,0,0,1.2,0,0.6,0.4,0.4,0.4,0,cluster4
95,aae00360,3,4,1,1,1,1,1.333333,0,1.666667,0.666667,0,0,0,1.333333,0,0.666667,0.333333,0.333333,0.333333,0,cluster4
96,aae00361,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
97,aae00364,3,3,1,1,1,1,2,0,2,1,0,0,0,2,0,1,0.666667,0.666667,0.666667,0.5,cluster5
98,aae00380,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
99,aae00400,35,80,1,8,1,3.216981,3.771429,2,4.496395,1.942857,24.428571,0,0.114286,3.885714,0.011968,1.942857,2.028571,0.354702,1.399382,0.230986,cluster2
100,aae00401,2,2,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
101,aae00410,6,6,1,2,1,1.25,2,0,3.097222,1,0.333333,0,0,2,0.016667,1,0.5,0.285714,0.4,0.125,cluster5
102,aae00450,9,6,3,2,1,1.25,1.333333,0,1.555556,0.666667,0.222222,0,0,1.333333,0.074074,0.666667,0.777778,0.490741,0.648148,0,cluster0
103,aae00460,3,2,1,1,1,1,1.333333,0,1.666667,0.666667,0,0,0,1.333333,0,0.666667,0.333333,0.333333,0.333333,0,cluster4
104,aae00471,7,6,1,3,1,1.666667,1.714286,0,2.380952,0.857143,1.142857,0,0,1.714286,0.038095,0.857143,0.857143,0.309524,0.642857,0,cluster0
105,aae00473,7,8,1,2,1,1.363636,2,1,4.761905,1.142857,0.571429,0,0.285714,2.285714,0.019048,1.142857,0.428571,0.228571,0.380952,0.147619,cluster1
106,aae00500,6,8,1,3,1,1.5,2.333333,1,2.847222,1.333333,1,0,0.333333,2.666667,0.05,1.333333,1.333333,0.5,0.944444,0.305556,cluster1
107,aae00520,8,10,1,2,1,1.285714,2.5,0,3.929167,1.25,0.5,0,0,2.5,0.011905,1.25,0.625,0.316667,0.453571,0.14375,cluster1
108,aae00521,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
109,aae00530,11,13,2,3,1,1.5,2.363636,0,2.936364,1.181818,1,0,0,2.363636,0.017857,1.181818,0.909091,0.360606,0.607143,0.115152,cluster5
110,aae00540,15,12,3,5,1,1.913043,1.6,0,1.777778,0.8,1.4,0,0,1.6,0.015556,0.8,1.333333,0.449444,0.927778,0,cluster0
111,aae00550,21,25,1,8,1,3.221154,2.380952,0,2.575397,1.190476,11,0,0,2.380952,0.028947,1.190476,3.428571,0.384237,2.176757,0.130952,cluster2
112,aae00562,4,2,2,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
113,aae00564,7,6,2,1,1,1,1.714286,0,1.857143,0.857143,0,0,0,1.714286,0,0.857143,0.571429,0.571429,0.571429,0,cluster4
114,aae00620,21,63,1,4,1,1.811024,5.904762,1,7.19909,3,5.571429,0,0.095238,6,0.012907,3,1.619048,0.390178,0.904087,0.28686,cluster3
115,aae00627,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
116,aae00630,11,21,1,3,1,1.37037,3.636364,1,3.919697,1.909091,0.909091,0,0.181818,3.818182,0.010101,1.909091,1,0.635281,0.922727,0.295455,cluster1
117,aae00640,10,10,3,1,1,1,2,0,2.4,1,0,0,0,2,0,1,0.4,0.4,0.4,0.2,cluster5
118,aae00641,4,2,2,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
119,aae00650,5,6,1,1,1,1,2.4,0,2.733333,1.2,0,0,0,2.4,0,1.2,0.6,0.6,0.6,0.266667,cluster5
120,aae00660,5,4,1,1,1,1,1.6,0,3.4,0.8,0,0,0,1.6,0,0.8,0.2,0.2,0.2,0,cluster4
121,aae00670,13,45,1,2,1,1.310345,6.153846,1,7.149267,3.153846,3.692308,0,0.153846,6.307692,0.01049,3.153846,1.384615,0.789448,1.11655,0.215415,cluster3
122,aae00680,7,5,2,1,1,1,1.428571,0,2.714286,0.714286,0,0,0,1.428571,0,0.714286,0.285714,0.285714,0.285714,0,cluster4
123,aae00710,13,20,3,3,1,1.333333,2.923077,1,3.40641,1.538462,0.692308,0,0.153846,3.076923,0.012363,1.538462,1.153846,0.566239,0.893773,0.252564,cluster1
124,aae00720,12,9,3,3,1,1.384615,1.5,0,1.75,0.75,0.416667,0,0,1.5,0.041667,0.75,0.833333,0.415675,0.631944,0,cluster0
125,aae00730,14,11,4,2,1,1.266667,1.571429,0,2.447619,0.785714,0.285714,0,0,1.571429,0.006803,0.785714,0.857143,0.491667,0.684524,0,cluster5
126,aae00740,10,8,2,3,1,1.416667,1.6,0,1.8,0.8,0.5,0,0,1.6,0.071667,0.8,1,0.491667,0.783333,0,cluster0
